# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://hmvf.co.uk/forumvb/archive/index.php/t-4530.html?s=32be0a38db4c3074a640d8efff33cd4b	I also forced Lynne into her HBT 's for	a photograph looking like	she knows what she is doing with a spanner !
http://www.astraownersnetwork.co.uk/archive/index.php/t-24570.html?s=3ebec3905b8adb0cb82943509f962036	As far as I know , the climate control in	a H looked like	this : uriblank ... and it displayed the temperatures etc on the screen .
http://www.adweek.com/news/advertising-branding/omd-has-been-selected-global-media-agency-year-155586	We need to reimagine what	an agency looks like	that can solve for that .
http://www.mrsjonesroom.com/songs/shapes.html	( skywrite a triangle ) P Q R S T	A rectangle looks like	this , you see .
http://blogs.nvidia.com/blog/2014/01/05/live-las-vegas/comment-page-1	That 's hard to do because we all know what	a face looks like	.
http://pwc.blogs.com/sustainability	I believe we 're going to see a shift in what	a city looks like	and it 's not going to be a place that 's built for cars and built for machines .
http://islandwood.org/comment/7	What does	a scientist look like	?
http://jd-divas.com/sideburns/lookingtotouch.shtml	That what	a species looked like	, or where a species originated , had little bearing on their worth ?
http://www.ehi.co.uk/news/EHI/7848/nhs-leaders-need-new-%E2%80%98mindset%E2%80%99-on-it	One mindset needed , said Farrar , is " a better understanding of what a good B 2 B deal with	a supplier looks like	.
http://newafricaradio.com/articles/9-3-99.html	They can tell us what	a galaxy looks like	.
http://wildflowerfinder.org.uk/Flowers/F/Flax(Fairy)/Flax(Fairy).htm	The dead brown , empty shells of the flowerheads create	a fuzz looking like	a dead grass .
http://www.pitstop-paint.co.uk/pages/Gallery%20-%20Bikes.htm	Subtle paintwork , from	a distance looks like	just black .
